2021-01-17 19:58:22.616218 , query target

 index |                           target-disease | overall association
   107 |            ENSG00000197386-MONDO_0032938 |       0.272 
   108 |           ENSG00000197386-Orphanet_69739 |       0.271 
   109 |          ENSG00000197386-Orphanet_289573 |       0.271 
   110 |           ENSG00000197386-Orphanet_98759 |        0.27 
   111 |            ENSG00000197386-Orphanet_2824 |       0.269 
   112 |           ENSG00000197386-Orphanet_98890 |       0.269 
   113 |           ENSG00000197386-Orphanet_93952 |       0.269 
   114 |            ENSG00000197386-MONDO_0044326 |       0.269 
   115 |          ENSG00000197386-Orphanet_313808 |       0.269 
   116 |             ENSG00000197386-Orphanet_912 |       0.269 
   117 |           ENSG00000197386-Orphanet_99854 |       0.267 
   118 |           ENSG00000197386-Orphanet_99853 |       0.267 
   119 |          ENSG00000197386-Orphanet_157719 |       0.267 
   120 |          ENSG00000197386-Orphanet_157716 |       0.267 
   121 |          ENSG00000197386-Orphanet_157713 |       0.267 
   122 |          ENSG00000197386-Orphanet_137898 |       0.266 
   123 |            ENSG00000197386-Orphanet_3451 |       0.265 
   124 |             ENSG00000197386-Orphanet_506 |       0.264 
   125 |            ENSG00000197386-Orphanet_1578 |       0.262 
   126 |            ENSG00000197386-Orphanet_2815 |       0.261 
   127 |               ENSG00000197386-HP_0001250 |       0.259 
   128 |            ENSG00000197386-Orphanet_2952 |       0.257 
   129 |           ENSG00000197386-Orphanet_67036 |       0.257 
   130 |          ENSG00000197386-Orphanet_137754 |       0.256 
   131 |              ENSG00000197386-EFO_1001981 |       0.256 
   132 |           ENSG00000197386-Orphanet_64280 |       0.256 
   133 |               ENSG00000197386-HP_0002373 |       0.256 
   134 |              ENSG00000197386-EFO_0004248 |       0.255 
   135 |          ENSG00000197386-Orphanet_276435 |       0.254 
   136 |              ENSG00000197386-EFO_0000763 |       0.254 
   137 |           ENSG00000197386-Orphanet_98784 |        0.25 
   138 |          ENSG00000197386-Orphanet_411602 |        0.25 
   139 |          ENSG00000197386-Orphanet_356996 |        0.25 
   140 |          ENSG00000197386-Orphanet_319192 |        0.25 
   141 |             ENSG00000197386-Orphanet_306 |        0.25 
   142 |            ENSG00000197386-Orphanet_3006 |        0.25 
   143 |          ENSG00000197386-Orphanet_293181 |        0.25 
   144 |          ENSG00000197386-Orphanet_280640 |        0.25 
   145 |          ENSG00000197386-Orphanet_275864 |        0.25 
   146 |          ENSG00000197386-Orphanet_269008 |        0.25 
   147 |          ENSG00000197386-Orphanet_269001 |        0.25 
   148 |            ENSG00000197386-Orphanet_2514 |        0.25 
   149 |          ENSG00000197386-Orphanet_228003 |        0.25 
   150 |            ENSG00000197386-Orphanet_2131 |        0.25 
   151 |            ENSG00000197386-Orphanet_1947 |        0.25 
   152 |            ENSG00000197386-Orphanet_1930 |        0.25 
   153 |          ENSG00000197386-Orphanet_171714 |        0.25 
   154 |          ENSG00000197386-Orphanet_171695 |        0.25 
   155 |          ENSG00000197386-Orphanet_166063 |        0.25 
   156 |          ENSG00000197386-Orphanet_163961 |        0.25 
   157 |          ENSG00000197386-Orphanet_163684 |        0.25 
   158 |            ENSG00000197386-Orphanet_1561 |        0.25 
   159 |          ENSG00000197386-Orphanet_139525 |        0.25 
   160 |            ENSG00000197386-Orphanet_1014 |        0.25 
   161 |            ENSG00000197386-MONDO_0032902 |        0.25 
   162 |            ENSG00000197386-MONDO_0030918 |        0.25 
   163 |            ENSG00000197386-MONDO_0014725 |        0.25 
   164 |              ENSG00000197386-EFO_0010248 |        0.25 
   165 |              ENSG00000197386-EFO_0009156 |        0.25 
   166 |              ENSG00000197386-EFO_0009152 |        0.25 
   167 |              ENSG00000197386-EFO_0003888 |        0.25 
   168 |          ENSG00000197386-Orphanet_488613 |        0.25 
   169 |            ENSG00000197386-MONDO_0060551 |       0.249 
   170 |            ENSG00000197386-MONDO_0044738 |       0.248 
   171 |            ENSG00000197386-MONDO_0012611 |       0.248 
   172 |             ENSG00000197386-Orphanet_569 |       0.248 
   173 |          ENSG00000197386-Orphanet_363710 |       0.248 
   174 |            ENSG00000197386-MONDO_0060640 |       0.248 
   175 |              ENSG00000197386-EFO_0009060 |       0.248 
   176 |            ENSG00000197386-Orphanet_1466 |       0.248 
   177 |           ENSG00000197386-Orphanet_88637 |       0.247 
   178 |          ENSG00000197386-Orphanet_100973 |       0.247 
   179 |              ENSG00000197386-EFO_0010636 |       0.247 
   180 |          ENSG00000197386-Orphanet_280763 |       0.246 
   181 |            ENSG00000197386-Orphanet_1035 |       0.246 
   182 |            ENSG00000197386-MONDO_0032892 |       0.246 
